title,img_url,release_year,genre,desc,Spoiler,Private Notes,rating,runtime
Interstellar,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,2014,"Science fiction, adventure, Drama, Mystery","In Earth's future, a global crop blight and second Dust Bowl are slowly rendering the planet uninhabitable. Professor Brand (Michael Caine), a brilliant NASA physicist, is working on plans to save mankind by transporting Earth's population to a new home via a wormhole.",,,8.6,169
The Martian,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSiwreHO3oFxkPPk2yyQXBEgB5RMaGsJguPKY8rtdwLaau_DW0f,2015,"Science fiction, adventure, Drama, Mystery","When astronauts blast off from the planet Mars, they leave behind Mark Watney (Matt Damon), presumed dead after a fierce storm. With only a meager amount of supplies, the stranded visitor must utilize his wits and spirit to find a way to survive on the hostile planet.",,,8,141
The Hurt Locker,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTbiaXz4bDctK8XBxgW0xKuKtV3m2S68qB6NRszAbLnc2-d6-64,2008,"War, Action, History, Drama","The film follows a bomb disposal team from one job to the next. Instead of traditional character development, the story coasts by on a wave of sustained and almost unbearable tension.",,,7.6,131
Mad Max: Fury Road,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuK41mExh1Qv3kbXoxohWYGlcstOQ6zEnnNdSI2BGIKywQwgRI,2015,"Action, Science fiction, adventure","Mad Max is a 1979 Australian action film directed by George Miller. Written by Miller and James McCausland from a story by Miller and producer Byron Kennedy, set between 1983 and 1985, a few years after the 1973 oil crisis. It tells a story of societal breakdown, murder, and revenge.",,,8.1,120
The Truman Show,https://flxt.tmsimg.com/assets/p20974_p_v10_aq.jpg,1998,"Comedy, Drama, Science Fiction, Fantasy","takes place in a completely fabricated town, where cameras lurk behind every corner and every citizen is an actor or actress. Every citizen, that is, except Truman Burbank (Jim Carrey), the unwitting subject of a 24-hour reality show. As Truman catches on to the truth behind his existence, his cozy reality begins to collapse around him. Meanwhile, a megalomaniac named Christof (Ed Harris) pulls all the strings from above.",,,8.1,103
Finding Nemo,https://upload.wikimedia.org/wikipedia/en/2/29/Finding_Nemo.jpg,2003,"Comedy,adventure, drama","Given Pixar's masterful grip on storytelling and computer animation alike, it's no surprise that the studio dominates when it comes to the best films of the 21st century. One of their most celebrated efforts is this 2003 adventure, in which a clownfish named Marlin navigates a perilous undersea terrain to find his missing son, Nemo.",,,8.1,100
christmas vacation,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQUgLtR_duunAsdFYCx0ka4I2L1GfWLteA7TAQc8zaGQlxGgl-K,1989,Comedy,"As the holidays approach, Clark Griswold (Chevy Chase) wants to have a perfect family Christmas, so he pesters his wife, Ellen (Beverly D'Angelo), and children, as he tries to make sure everything is in line, including the tree and house decorations. However, things go awry quickly.",,,7.7,97
Back to the Future,https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,1985,"Comedy, Science Fiction, Adventure, Fantasy","Few adventure films have held up with the same panache as 1985's “Back to the Future,” which delivers one iconic scene after another. Featuring a downright twisted premise, the movie follows young Marty McFly (Michael J. Fox) as he journeys into the past, only to end up as the object of his future mother's affection. Suddenly, Marty finds himself playing matchmaker between his two teenage parents, with his own existence hanging in the balance.",,,8.5,116
Kung Fu Panda,https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_FMjpg_UX1000_.jpg,2016,"Action, Adventure, Comedy, ","Po might just be the laziest, clumsiest panda in the Valley of Peace, but he secretly dreams of becoming a kung fu legend. When the villainous snow leopard Tai Lung threatens Po's homeland, the hapless panda is chosen to fulfil an ancient prophecy and defend the Valley from attack.",,,7.6,92
La La Land,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvYskYLpdx-CTwIt7PxQXwE6QPP5r8sTCgYE6yfa6ANXfTAyiniQrglP3zOBHTvANnLYw&usqp=CAU,2016,"Musical, Romance, Comedy, Drama","Modernizing the traditional musical, “La La Land” takes place in the city of dreams, and tells the story of two aspiring artists, one a musician (Ryan Gosling) and the other an actress (Emma Stone). Kicking the film off on a high note is a six-minute song-and-dance number that goes down in the middle of freeway traffic.",,,8,128
Dunkirk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDy6O70L-R86amKCYhYRcG_54ny1R_meMTg_nLz6WInfmMEpvGnCdnPmGn9ZEzTd-6lWQ&usqp=CAU,2017,"War, Action, Drama","Depicting the evacuation of Allied forces from the French seaport of Dunkirk, this 2017 war film throws viewers into the action during its opening scene and never lets up throughout the entire 106-minute runtime. Like most films based on true stories, this one came under fire for omitting key details of the actual event.",,,7.9,106
Gravity,https://s2.dmcdn.net/v/SpZ3B1WU37K7wpq4Q/x1080,2013,"Science fiction, adventure, Drama, Mystery","Alfonso Cuarón and his team invented new technology to create “Gravity,” a 3D adventure about two astronauts (Sandra Bullock and George Clooney) fighting for survival in space. Approximately 80% of the movie is the result of photo-realistic CG.",,,7.7,91
